File Name,Revision,State (Historical),Created By (sys),Checked In,Comment
808500.iam,11,Obsolete,TN,2021-01-07 14:26,No longer in production
802737.iam,02,Released Production,HN,2019-02-02 09:52,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
802736.ipt,02,Released Production,TN,2019-03-04 14:13,
802741.ipt,02,Released Production,HN,2019-02-02 09:53,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
802771.ipt,08,Released Production,HN,2019-02-03 12:54,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
802439.ipt,06,Released Production,HN,2019-02-02 09:51,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
802776.ipt,01,Released Production,HN,2019-02-03 12:54,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
807085.iam,01,Released Production,HN,2019-02-03 15:11,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
802299.ipt,04,Released Production,HN,2019-02-03 12:33,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
802385.iam,03,Released Production,HN,2019-02-03 12:35,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
802385-01.ipt,00,Released Production,TN,2019-03-06 13:01,
802385-02.ipt,00,Released Production,Jobuser,2019-03-11 09:45,Checked in by Naviate
802391.ipt,03,Released Production,HN,2019-02-03 12:36,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
802392.ipt,03,Released Production,HN,2019-02-03 12:36,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
802820.iam,02,Released Production,HN,2019-02-03 12:58,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
802820-01.ipt,00,Released Production,TN,2019-03-06 16:35,
802820-02.ipt,00,Released Production,TN,2019-03-06 16:35,
802833.ipt,02,Released Production,HN,2019-02-03 12:59,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
802834.ipt,02,Released Production,HN,2019-02-03 12:59,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
802846.ipt,01,Released Production,HN,2019-02-03 13:00,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
805344.ipt,02,Released Production,HN,2019-02-03 14:38,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
807079.ipt,01,Released Production,HN,2019-02-03 15:11,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
807086.ipt,02,Released Production,HN,2019-02-03 15:12,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
807087.ipt,02,Released Production,HN,2019-02-03 15:12,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
807088.ipt,04,Released Production,HN,2019-02-03 15:12,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
807089.ipt,04,Released Production,HN,2019-02-03 15:12,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
807090.ipt,00,Released Production,HN,2019-02-03 15:12,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
807092.ipt,03,Released Production,HN,2019-02-03 15:12,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
807093.ipt,03,Released Production,HN,2019-02-03 15:12,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
807125.ipt,00,Released Production,HN,2019-02-03 15:14,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
807216.ipt,01,Released Production,HN,2019-02-03 15:18,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
807217.ipt,01,Released Production,HN,2019-02-03 15:18,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
807265.ipt,00,Released Production,HN,2019-02-03 15:22,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
807129.ipt,00,Released Production,HN,2019-02-03 15:14,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
807218.ipt,04,Released Production,HN,2019-02-03 15:18,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
807447.ipt,00,Released Production,HN,2019-02-03 15:29,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
807454.iam,00,Released Production,HN,2019-02-03 15:29,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
802842.ipt,01,Released Production,RK,2022-03-10 13:50,
807203.ipt,01,Released Production,RK,2022-03-14 11:46,
807207.ipt,01,Released Production,RK,2022-03-10 14:12,
807208.ipt,01,Released Production,RK,2022-03-29 13:08,
807210.ipt,00,Released Production,HN,2019-02-03 15:18,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
807846.ipt,00,Released Production,HN,2019-02-03 16:02,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
807847.ipt,05,Released Production,RK,2022-03-10 14:36,
807864.ipt,04,Released Production,HN,2019-02-03 16:02,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808076.ipt,07,Released Production,RydSim,2023-07-20 08:32,
808122.ipt,03,Released Production,HN,2019-02-03 16:08,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808294.iam,04,Released Production,HN,2019-02-02 12:03,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
804087.iam,07,Released Production,HN,2023-01-12 10:58,
822405.ipt,01,Released Production,TN,2019-02-22 10:43,
822406.ipt,01,Released Production,TN,2019-02-22 10:43,
822483.ipt,01,Released Production,TN,2019-03-04 16:24,
806603.ipt,04,Released Production,HN,2019-02-03 15:03,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
802369.ipt,07,Released Production,HN,2019-02-03 12:35,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
802572.ipt,04,Released Production,HN,2019-02-03 12:45,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
802816.ipt,04,Released Production,HN,2019-02-03 12:57,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
802852.ipt,03,Released Production,HN,2019-02-03 13:01,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
802866.ipt,01,Released Production,HN,2019-02-03 13:02,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
803361.ipt,03,Released Production,HN,2019-02-03 13:15,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
804595.ipt,02,Released Production,HN,2019-02-03 14:13,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808124.iam,05,Released Production,DP,2021-08-09 11:15,
808295.iam,13,Released Production,HN,2019-02-02 10:12,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
812074.iam,00,Released,Admin,2018-12-06 13:03,
812073.ipt,00,Released,Admin,2018-12-06 13:03,
812075.iam,00,Released,Admin,2018-12-06 13:03,
812072.ipt,00,Released,Admin,2018-12-06 13:03,
812077.iam,00,Released,Admin,2018-12-06 13:03,
808559.ipt,01,Released Production,TN,2019-03-04 15:23,
812076.ipt,00,Released Production,TN,2019-03-04 15:23,
812078.ipt,00,Released,Admin,2018-12-06 13:03,
812079.ipt,00,Released,Admin,2018-12-06 13:03,
812080.ipt,01,Released Production,TN,2019-03-04 15:23,
812081.ipt,00,Released,Admin,2018-12-06 13:03,
812082.ipt,00,Released Production,TN,2019-03-04 15:23,
808296.iam,01,Released Production,HN,2019-02-03 16:19,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
807254.ipt,00,Released Production,HN,2019-02-03 15:21,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808298.ipt,03,Released Production,HN,2019-02-03 16:19,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808365.ipt,02,Released Production,HN,2019-02-03 16:22,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808297.iam,01,Released Production,HN,2019-02-03 16:19,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
802370.ipt,05,Released Production,HN,2019-02-03 12:35,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808298.ipt,03,Released Production,HN,2019-02-03 16:19,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808632.ipt,03,Released Production,HN,2019-02-03 16:35,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808561.iam,01,Released Production,HN,2019-02-03 16:31,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808562.ipt,01,Released,Admin,2019-06-25 12:57,Attachments modified
808638.ipt,01,Released Production,HN,2019-02-03 16:35,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
809230.ipt,00,Released Production,HN,2019-02-03 17:03,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808332.iam,03,Released Production,HN,2019-02-03 16:21,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
802863.ipt,06,Released Production,HN,2019-02-03 13:02,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
807044.ipt,01,Released Production,HN,2019-02-03 15:09,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
807045.iam,01,Released Production,HN,2019-02-03 15:09,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
807046.ipt,03,Released,Migrering,2018-12-09 00:30,
807047.ipt,01,Released,Admin,2018-12-06 13:04,
807161.ipt,01,Released Production,HN,2019-02-03 15:15,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808339.ipt,03,Released Production,HN,2019-02-03 16:21,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808358.ipt,01,Released Production,HN,2019-02-03 16:22,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808359.ipt,00,Released Production,HN,2019-02-03 16:22,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808364.ipt,02,Released Production,HN,2019-02-03 16:22,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808392.ipt,01,Released Production,HN,2019-02-03 16:23,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808397.iam,05,Released Production,HN,2019-02-03 16:23,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
802009.ipt,06,Released Production,HN,2019-02-03 12:30,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808394.ipt,02,Released Production,HN,2019-02-03 16:23,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808396.iam,07,Released Production,RydSim,2022-12-16 10:52,
802008.ipt,12,Released Production,TN,2019-03-04 14:13,
808398.iam,05,Released,RydSim,2022-12-16 10:01,Released
802656.ipt,07,Released Production,TN,2019-03-04 14:13,
802666.ipt,05,Released Production,RydSim,2022-12-16 12:21,
808399.iam,06,Released,RydSim,2022-12-16 10:12,Released
802656.ipt,07,Released Production,TN,2019-03-04 14:13,
802666.ipt,05,Released Production,RydSim,2022-12-16 12:21,
811363.ipt,00,Released Production,HN,2019-02-03 17:30,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808503.iam,00,Released Production,HN,2019-02-03 16:28,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808433.ipt,00,Released Production,HN,2019-02-03 16:24,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808563.iam,04,Released Production,HN,2019-02-03 16:31,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808335.ipt,00,Released Production,HN,2019-02-03 16:21,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808336.ipt,02,Released Production,HN,2019-02-03 16:21,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808337.ipt,05,Released Production,HN,2019-02-03 16:21,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808341.ipt,01,Released Production,HN,2019-02-03 16:21,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808342.ipt,01,Released Production,HN,2019-02-03 16:21,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808343.ipt,03,Released Production,HN,2019-02-03 16:21,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808344.ipt,07,Released,Migrering,2018-12-09 00:32,
808347.ipt,01,Released Production,HN,2019-02-03 16:21,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808348.ipt,01,Released Production,HN,2019-02-03 16:21,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808349.ipt,03,Released Production,HN,2019-02-03 16:21,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808360.ipt,00,Released Production,HN,2019-02-03 16:22,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808361.ipt,00,Released Production,HN,2019-02-03 16:22,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808496.ipt,02,Released Production,HN,2019-02-03 16:27,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808497.ipt,02,Released Production,HN,2019-02-03 16:28,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
811143.ipt,00,Released Production,HN,2019-02-03 17:23,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808618.ipt,02,Released Production,HN,2019-02-03 16:34,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808988.ipt,00,Released Production,HN,2019-02-03 16:53,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808334.ipt,03,Released,Migrering,2018-12-09 00:32,
808338.iam,23,Released Production,RydSim,2023-01-24 14:17,
802360.ipt,06,Released Production,HN,2019-02-03 12:35,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
802801.ipt,05,Released Production,HN,2019-02-03 12:56,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
805396.iam,02,Released Production,HN,2019-02-03 14:41,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
805379.ipt,02,Released Production,HN,2019-02-03 14:40,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
805422.ipt,02,Released Production,HN,2019-02-03 14:42,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
812588.iam,01,Released Production,HN,2019-02-03 18:07,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
812586.ipt,01,Released Production,TN,2019-03-04 16:09,
812587.ipt,02,Released Production,Admin,2019-06-19 14:05,Attachments modified
805396.iam,02,Released Production,HN,2019-02-03 14:41,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
805379.ipt,02,Released Production,HN,2019-02-03 14:40,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
805422.ipt,02,Released Production,HN,2019-02-03 14:42,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
812588.iam,01,Released Production,HN,2019-02-03 18:07,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
812586.ipt,01,Released Production,TN,2019-03-04 16:09,
812587.ipt,02,Released Production,Admin,2019-06-19 14:05,Attachments modified
807073.ipt,01,Released Production,Jobuser,2019-03-25 10:25,Checked in by Naviate
808659.ipt,01,Released Production,HN,2019-02-03 16:36,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
REF1532.ipt,00,Released,Admin,2018-12-06 13:05,
REF1533.ipt,00,Released,Admin,2018-12-06 13:05,
REF1534.ipt,00,Released,Admin,2018-12-06 13:05,
802098.ipt,01,Released Production,HN,2019-02-03 12:33,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
802360.ipt,06,Released Production,HN,2019-02-03 12:35,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
802803.ipt,04,Released Production,HN,2019-02-03 12:56,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
802804.ipt,03,Released Production,HN,2019-02-03 12:56,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
802838.iam,01,Released Production,HN,2019-02-03 12:59,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
802047.ipt,02,Released Production,HN,2019-02-03 12:32,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
802048.ipt,01,Released Production,HN,2019-02-03 12:32,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
802843.ipt,03,Released Production,FiSv,2021-09-22 11:18,
802844.ipt,05,Released Production,HN,2019-02-03 13:00,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
802855.ipt,02,Released Production,HN,2019-02-03 13:01,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
805194.ipt,03,Released Production,HN,2019-02-03 14:29,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
805210.ipt,06,Released Production,HN,2019-02-03 14:30,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
805246.ipt,04,Released Production,LL,2024-05-16 15:08,
805320.ipt,02,Released Production,HN,2019-02-03 14:36,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
805361.ipt,01,Released Production,HN,2019-02-03 14:39,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
805368.ipt,01,Released Production,HN,2019-02-03 14:40,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
805406.iam,02,Released Production,HN,2019-02-03 14:42,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
802360.ipt,06,Released Production,HN,2019-02-03 12:35,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
802801.ipt,05,Released Production,HN,2019-02-03 12:56,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
807022.iam,05,Released Production,HN,2019-02-03 15:07,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
807023.ipt,01,Released,Admin,2018-12-06 13:06,
807077.ipt,02,Released,Admin,2018-12-06 13:06,
807078.ipt,03,Released,Admin,2018-12-06 13:06,
807024.ipt,04,Released Production,HN,2019-02-03 15:07,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
807034.ipt,01,Released Production,Jobuser,2019-04-09 10:19,Checked in by Naviate
807038.iam,01,Released Production,HN,2019-02-03 15:08,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
807031.ipt,01,Released Production,Jobuser,2019-03-12 12:06,Checked in by Naviate
807032.ipt,01,Released Production,Jobuser,2019-03-12 12:15,Checked in by Naviate
807062.ipt,13,Released Production,HN,2019-02-03 15:10,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
807063.ipt,14,Released Production,HN,2019-02-03 15:10,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
807068.iam,06,Released Production,HN,2019-02-03 15:10,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
805166.ipt,01,Released Production,LO,2020-10-26 14:17,
807067.ipt,01,Released Production,Jobuser,2019-03-25 10:36,Checked in by Naviate
807368.iam,01,Released Production,Jobuser,2019-03-12 11:50,Checked in by Naviate
REF0083.ipt,01,Released Production,Jobuser,2019-03-12 10:21,Checked in by Naviate
REF1299.ipt,01,Released Production,HN,2019-03-12 10:29,
807369.iam,01,Released Production,Jobuser,2019-03-12 11:24,Checked in by Naviate
REF0083.ipt,01,Released Production,Jobuser,2019-03-12 10:21,Checked in by Naviate
REF1299.ipt,01,Released Production,HN,2019-03-12 10:29,
