File Name,Revision,State (Historical),Created By (sys),Checked In,Comment
807489.ipt,01,Released Production,HN,2019-02-03 15:34,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
809100.ipt,02,Released Production,HN,2019-02-03 16:59,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
809151.iam,02,Released Production,SparePartUpdate,2023-11-15 09:32,Property Edit
808629.ipt,04,Released Production,HN,2022-02-17 12:17,
809045.ipt,00,Released Production,HN,2019-02-03 16:57,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
809046.ipt,02,Released Production,HN,2019-02-03 16:57,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
809152.ipt,00,Released Production,HN,2019-02-03 17:01,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
812625.iam,02,Released,Admin,2018-12-06 13:05,
812624.ipt,00,Released,Admin,2018-12-06 13:05,
812634.ipt,01,Released,Admin,2018-12-06 13:05,
812627.iam,03,Released Production,HN,2019-02-03 18:08,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
812626.ipt,00,Released Production,FF,2019-04-09 08:57,
812634.ipt,01,Released,Admin,2018-12-06 13:05,
807842.ipt,00,Released Production,HN,2019-02-03 16:01,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
807848.ipt,02,Released Production,TN,2019-07-15 13:32,
808315.iam,01,Released Production,HN,2019-02-03 16:20,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808313.ipt,01,Released Production,HN,2019-02-03 16:20,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808375.iam,01,Released Production,HN,2019-02-03 16:22,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808383.ipt,00,Released Production,HN,2019-02-03 16:22,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808384.ipt,00,Released Production,HN,2019-02-03 16:22,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808391.iam,00,Released Production,HN,2019-02-03 16:23,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808393.ipt,00,Released,Admin,2018-12-06 13:06,
808476.ipt,02,Released Production,HN,2019-02-03 16:26,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808477.ipt,05,Released Production,HN,2019-02-03 16:26,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808480.iam,04,Released Production,HN,2019-02-03 16:27,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
807255.ipt,04,Released Production,HN,2019-02-03 15:21,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
807489.ipt,01,Released Production,HN,2019-02-03 15:34,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
807626.ipt,03,Released Production,HN,2019-02-03 15:44,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
809110.ipt,01,Released Production,HN,2019-02-03 16:59,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
809151.iam,02,Released Production,SparePartUpdate,2023-11-15 09:32,Property Edit
808629.ipt,04,Released Production,HN,2022-02-17 12:17,
809045.ipt,00,Released Production,HN,2019-02-03 16:57,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
809046.ipt,02,Released Production,HN,2019-02-03 16:57,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
809152.ipt,00,Released Production,HN,2019-02-03 17:01,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
812629.iam,02,Released,Admin,2018-11-20 15:12,Property Edit
812628.ipt,00,Released,Migrering,2018-12-09 00:41,
812634.ipt,01,Released,Admin,2018-12-06 13:05,
812631.iam,05,Released Production,HN,2019-02-03 18:08,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
812630.ipt,02,Released,Admin,2018-12-06 13:05,
812634.ipt,01,Released,Admin,2018-12-06 13:05,
808557.ipt,01,Released Production,HN,2019-02-03 16:31,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808602.iam,01,Released Production,HN,2019-02-03 16:33,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808478.ipt,01,Released Production,HN,2019-02-03 16:26,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808483.ipt,02,Released Production,HN,2019-02-03 16:27,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808493.ipt,01,Released Production,HN,2019-02-03 16:27,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
809175.ipt,01,Released Production,HN,2019-02-03 17:02,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808603.iam,02,Released Production,HN,2021-01-15 11:28,
801263.ipt,03,Released Production,HN,2019-02-03 12:20,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
805048.iam,04,Released Production,TN,2019-09-24 16:36,
805034.ipt,08,Released Production,HN,2024-06-19 10:56,
805039.ipt,02,Released Production,RK,2022-03-10 10:41,
805040.ipt,01,Released Production,RK,2022-03-14 14:12,
805066.ipt,03,Released Production,HN,2019-02-03 14:24,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
805412.ipt,01,Released Production,Jobuser,2019-03-08 12:20,Checked in by Naviate
807800.iam,00,Released Production,HN,2019-02-03 15:59,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
805064.ipt,03,Released Production,HN,2019-02-03 14:24,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
805365.iam,01,Released Production,HN,2019-02-03 14:40,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
805031.ipt,01,Released Production,HN,2019-02-03 14:22,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
805255.ipt,00,Released Production,HN,2019-02-03 14:32,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
805367.ipt,03,Released Production,HN,2019-02-03 14:40,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
807798.ipt,00,Released Production,HN,2019-02-03 15:59,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
807801.iam,01,Released Production,HN,2019-02-03 15:59,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
805064.ipt,03,Released Production,HN,2019-02-03 14:24,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
807796.ipt,00,Released Production,HN,2019-02-03 15:59,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
813723.iam,00,Released Production,HN,2019-02-03 18:29,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
805031.ipt,01,Released Production,HN,2019-02-03 14:22,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
805255.ipt,00,Released Production,HN,2019-02-03 14:32,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
805367.ipt,03,Released Production,HN,2019-02-03 14:40,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
822456.iam,01,Released Production,HN,2024-02-13 10:53,
801294.ipt,09,Released Production,HN,2023-02-10 10:43,
805148.ipt,04,Released Production,HN,2020-11-25 10:07,
807797.ipt,02,Released Production,HN,2023-02-15 12:33,
808362.ipt,03,Released Production,HN,2022-02-18 08:55,
822457.iam,05,Released Production,HN,2024-03-07 09:03,
801070.ipt,03,Released Production,HN,2019-02-03 12:15,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
801292.ipt,04,Released Production,HN,2019-02-03 12:23,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
813389.iam,00,Released Production,HN,2019-02-03 18:17,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
813382.iam,00,Released Production,Admin,2019-06-19 14:05,Attachments modified
813382-01.ipt,00,Released Production,Admin,2019-06-19 14:06,Attachments modified
813383.ipt,00,Released Production,TN,2019-03-04 16:09,
801081.ipt,03,Released Production,HN,2019-02-03 12:16,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
801282.ipt,05,Released Production,HN,2020-12-15 09:22,
801286.ipt,05,Released Production,HN,2019-02-03 12:22,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
801287.ipt,03,Released Production,HN,2019-02-03 12:22,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
801289.ipt,07,Released Production,HN,2020-11-19 15:02,
801303.ipt,02,Released Production,HN,2019-02-03 12:24,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
801304.ipt,02,Released Production,HN,2019-02-03 12:24,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
801375.iam,02,Released Production,HN,2019-02-03 12:29,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
801291.ipt,14,Released Production,RK,2022-04-20 14:21,
801295.ipt,01,Released Production,Admin,2019-06-25 13:12,Attachments modified
807026.ipt,04,Released Production,HN,2019-02-03 15:07,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
822454.ipt,01,Released Production,HN,2019-02-03 18:52,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
822458.ipt,03,Released Production,HN,2019-02-03 18:52,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
822459.ipt,02,Released Production,HN,2019-02-03 18:52,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
822460.ipt,02,Released Production,HN,2019-02-03 18:52,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
822461.ipt,01,Released Production,HN,2019-02-03 18:53,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
822462.iam,02,Released Production,HN,2024-01-29 09:08,
822455.ipt,02,Released Production,HN,2019-02-03 18:52,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
822463.ipt,03,Released Production,FiSv,2022-03-14 08:53,
822464.ipt,01,Released Production,RydSim,2023-07-05 17:20,
822466.iam,02,Released Production,HN,2020-08-24 10:00,
822467.ipt,02,Released Production,HN,2020-08-13 08:37,
822589.ipt,00,Released Production,HN,2019-02-03 18:56,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
822470.ipt,02,Released Production,HN,2019-02-03 18:53,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
822471.ipt,02,Released Production,RydSim,2023-07-05 16:08,
822473.ipt,02,Released Production,RydSim,2023-07-17 15:39,
822482.ipt,01,Released Production,HN,2019-02-03 18:54,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
822583.iam,02,Released Production,HN,2024-01-31 08:16,
801304.ipt,02,Released Production,HN,2019-02-03 12:24,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
822584.ipt,03,Released Production,HN,2020-08-13 09:10,
829806.ipt,00,Released Production,HN,2023-02-10 10:15,
829806.ipt,00,Released Production,HN,2023-02-10 10:15,
822468.iam,02,Released Production,HN,2024-02-13 10:55,
801293.ipt,09,Released Production,HN,2023-02-10 10:41,
805148.ipt,04,Released Production,HN,2020-11-25 10:07,
807799.ipt,02,Released Production,HN,2023-02-15 12:34,
808363.ipt,03,Released Production,HN,2022-02-18 08:56,
822469.iam,05,Released Production,HN,2024-03-07 09:17,
801070.ipt,03,Released Production,HN,2019-02-03 12:15,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
801290.ipt,04,Released Production,HN,2019-02-03 12:22,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
813389.iam,00,Released Production,HN,2019-02-03 18:17,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
813382.iam,00,Released Production,Admin,2019-06-19 14:05,Attachments modified
813382-01.ipt,00,Released Production,Admin,2019-06-19 14:06,Attachments modified
813383.ipt,00,Released Production,TN,2019-03-04 16:09,
801081.ipt,03,Released Production,HN,2019-02-03 12:16,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
801282.ipt,05,Released Production,HN,2020-12-15 09:22,
801286.ipt,05,Released Production,HN,2019-02-03 12:22,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
801287.ipt,03,Released Production,HN,2019-02-03 12:22,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
801288.ipt,07,Released Production,HN,2020-11-18 18:04,
801303.ipt,02,Released Production,HN,2019-02-03 12:24,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
801304.ipt,02,Released Production,HN,2019-02-03 12:24,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
801375.iam,02,Released Production,HN,2019-02-03 12:29,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
801291.ipt,14,Released Production,RK,2022-04-20 14:21,
801295.ipt,01,Released Production,Admin,2019-06-25 13:12,Attachments modified
807026.ipt,04,Released Production,HN,2019-02-03 15:07,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
822454.ipt,01,Released Production,HN,2019-02-03 18:52,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
822458.ipt,03,Released Production,HN,2019-02-03 18:52,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
822459.ipt,02,Released Production,HN,2019-02-03 18:52,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
822460.ipt,02,Released Production,HN,2019-02-03 18:52,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
822461.ipt,01,Released Production,HN,2019-02-03 18:53,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
822462.iam,02,Released Production,HN,2024-01-29 09:08,
822455.ipt,02,Released Production,HN,2019-02-03 18:52,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
822463.ipt,03,Released Production,FiSv,2022-03-14 08:53,
822464.ipt,01,Released Production,RydSim,2023-07-05 17:20,
822466.iam,02,Released Production,HN,2020-08-24 10:00,
822467.ipt,02,Released Production,HN,2020-08-13 08:37,
822589.ipt,00,Released Production,HN,2019-02-03 18:56,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
822470.ipt,02,Released Production,HN,2019-02-03 18:53,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
822471.ipt,02,Released Production,RydSim,2023-07-05 16:08,
822474.ipt,02,Released Production,RydSim,2023-07-17 16:11,
822473.ipt,02,Released Production,RydSim,2023-07-17 15:39,
822482.ipt,01,Released Production,HN,2019-02-03 18:54,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
822583.iam,02,Released Production,HN,2024-01-31 08:16,
801304.ipt,02,Released Production,HN,2019-02-03 12:24,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
822584.ipt,03,Released Production,HN,2020-08-13 09:10,
829806.ipt,00,Released Production,HN,2023-02-10 10:15,
829806.ipt,00,Released Production,HN,2023-02-10 10:15,
808604.iam,02,Released Production,HN,2019-02-03 16:34,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
807016.ipt,01,Released Production,HN,2019-02-03 15:07,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
807025.iam,00,Released Production,HN,2019-02-03 15:07,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
807026.ipt,04,Released Production,HN,2019-02-03 15:07,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
807187.ipt,01,Released Production,HN,2019-02-03 15:16,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
807740.ipt,02,Released Production,HN,2022-06-22 11:06,
808556.iam,00,Released Production,HN,2019-02-03 16:31,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
807028.ipt,01,Released Production,HN,2019-02-03 15:08,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808620.ipt,02,Released Production,HN,2019-02-03 16:34,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808893.ipt,01,Released Production,HN,2019-02-03 16:49,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808922.iam,01,Released Production,HN,2019-02-03 16:50,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808558.ipt,03,Released Production,HN,2019-02-03 16:31,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808913.ipt,00,Released Production,HN,2019-02-03 16:50,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808914.ipt,00,Released Production,HN,2019-02-03 16:50,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808917.iam,01,Released Production,HN,2019-02-03 16:50,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808915.ipt,00,Released,Migrering,2018-12-09 00:34,
808916.ipt,00,Released,Migrering,2018-12-09 00:34,
809099.iam,01,Released Production,HN,2019-02-03 16:59,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
807286.ipt,02,Released Production,RydSim,2023-06-28 10:07,
808977.ipt,02,Released Production,HN,2019-02-03 16:53,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
809098.ipt,00,Released Production,HN,2019-02-03 16:59,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
809109.ipt,02,Released Production,HN,2019-02-03 16:59,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
809161.ipt,02,Released Production,HN,2019-02-03 17:01,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
809162.ipt,02,Released Production,HN,2019-02-03 17:01,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808549.ipt,01,Released Production,HN,2019-02-03 16:30,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808592.iam,06,Released Production,HN,2019-02-03 16:33,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
802650.ipt,03,Released Production,HN,2019-02-03 12:49,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808429.ipt,01,Released Production,HN,2019-02-03 16:24,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808430.ipt,02,Released Production,HN,2019-02-03 16:24,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808431.ipt,01,Released Production,HN,2019-02-03 16:24,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808432.ipt,00,Released Production,HN,2019-02-03 16:24,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808495.ipt,00,Released Production,HN,2019-02-03 16:27,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808912.ipt,01,Released Production,HN,2019-02-03 16:50,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808919.iam,01,Released Production,HN,2019-02-03 16:50,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808920.ipt,01,Released,Migrering,2018-12-09 00:34,
808921.ipt,00,Released,Migrering,2018-12-09 00:34,
808943.ipt,00,Released Production,HN,2019-02-03 16:51,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
811158.ipt,00,Released Production,HN,2019-02-03 17:24,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
811160.iam,00,Released Production,HN,2019-02-03 17:24,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
809008.ipt,01,Released Production,HN,2019-02-03 16:54,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
809009.ipt,01,Released Production,HN,2019-02-03 16:54,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
